label,duty,t,rpm,out
baseline,0.04,4634145,42.84,0.04
baseline,0.04,4634155,17.96,0.04
baseline,0.04,4634165,5.5,0.04
baseline,0.04,4634175,1.68,0.04
baseline,0.04,4634185,0.52,0.04
baseline,0.04,4634195,0.16,0.04
baseline,0.04,4634205,0.05,0.04
baseline,0.04,4634215,0.01,0.04
baseline,0.04,4634225,0.0,0.04
baseline,0.04,4634235,0.0,0.04
baseline,0.04,4634245,0.0,0.04
baseline,0.04,4634255,0.0,0.04
baseline,0.04,4634265,0.0,0.04
baseline,0.04,4634275,0.0,0.04
baseline,0.04,4634285,0.0,0.04
baseline,0.04,4634295,0.0,0.04
baseline,0.04,4634305,0.0,0.04
baseline,0.04,4634315,0.0,0.04
baseline,0.04,4634325,0.0,0.04
baseline,0.04,4634335,0.0,0.04
baseline,0.04,4634345,0.0,0.04
baseline,0.04,4634355,0.0,0.04
baseline,0.04,4634365,0.0,0.04
baseline,0.04,4634375,0.0,0.04
baseline,0.04,4634385,0.0,0.04
baseline,0.04,4634395,0.0,0.04
baseline,0.04,4634405,0.0,0.04
baseline,0.04,4634415,0.0,0.04
baseline,0.04,4634425,0.0,0.04
baseline,0.04,4634435,0.0,0.04
baseline,0.04,4634445,0.0,0.04
baseline,0.04,4634455,0.0,0.04
baseline,0.04,4634465,0.0,0.04
baseline,0.04,4634475,0.0,0.04
baseline,0.04,4634485,0.0,0.04
baseline,0.04,4634495,0.0,0.04
baseline,0.04,4634505,0.0,0.04
baseline,0.04,4634515,0.0,0.04
baseline,0.04,4634525,0.0,0.04
baseline,0.04,4634535,0.0,0.04
baseline,0.04,4634545,0.0,0.04
baseline,0.04,4634555,0.0,0.04
baseline,0.04,4634565,0.0,0.04
baseline,0.04,4634575,0.0,0.04
baseline,0.04,4634585,0.0,0.04
baseline,0.04,4634595,0.0,0.04
baseline,0.04,4634605,0.0,0.04
baseline,0.04,4634615,0.0,0.04
baseline,0.04,4634625,0.0,0.04
baseline,0.04,4634635,0.0,0.04
baseline,0.04,4634645,0.0,0.04
baseline,0.04,4634655,0.0,0.04
baseline,0.04,4634665,0.0,0.04
baseline,0.04,4634675,0.0,0.04
baseline,0.04,4634685,0.0,0.04
baseline,0.04,4634695,0.0,0.04
baseline,0.04,4634705,0.0,0.04
baseline,0.04,4634715,0.0,0.04
baseline,0.04,4634725,0.0,0.04
baseline,0.04,4634735,0.0,0.04
baseline,0.04,4634745,0.0,0.04
baseline,0.04,4634755,0.0,0.04
baseline,0.04,4634765,0.0,0.04
baseline,0.04,4634775,0.0,0.04
baseline,0.04,4634785,0.0,0.04
baseline,0.04,4634795,0.0,0.04
baseline,0.04,4634805,0.0,0.04
baseline,0.04,4634815,0.0,0.04
baseline,0.04,4634825,0.0,0.04
baseline,0.04,4634835,0.0,0.04
baseline,0.04,4634845,0.0,0.04
baseline,0.04,4634855,0.0,0.04
baseline,0.04,4634865,0.0,0.04
baseline,0.04,4634875,0.0,0.04
baseline,0.04,4634885,0.0,0.04
baseline,0.04,4634895,0.0,0.04
baseline,0.04,4634905,0.0,0.04
baseline,0.04,4634915,0.0,0.04
baseline,0.04,4634925,0.0,0.04
baseline,0.04,4634935,0.0,0.04
baseline,0.04,4634945,0.0,0.04
baseline,0.04,4634955,0.0,0.04
baseline,0.04,4634965,0.0,0.04
baseline,0.04,4634975,0.0,0.04
baseline,0.04,4634985,0.0,0.04
baseline,0.04,4634995,0.0,0.04
baseline,0.04,4635005,0.0,0.04
baseline,0.04,4635015,0.0,0.04
baseline,0.04,4635025,0.0,0.04
baseline,0.04,4635035,0.0,0.04
baseline,0.04,4635045,0.0,0.04
baseline,0.04,4635055,0.0,0.04
baseline,0.04,4635065,0.0,0.04
baseline,0.04,4635075,0.0,0.04
baseline,0.04,4635085,0.0,0.04
baseline,0.04,4635095,0.0,0.04
baseline,0.04,4635105,0.0,0.04
baseline,0.04,4635115,0.0,0.04
baseline,0.04,4635125,0.0,0.04
baseline,0.04,4635135,0.0,0.04
baseline,0.04,4635145,0.0,0.04
baseline,0.04,4635155,0.0,0.04
baseline,0.04,4635165,0.0,0.04
baseline,0.04,4635175,0.0,0.04
baseline,0.04,4635185,0.0,0.04
baseline,0.04,4635195,0.0,0.04
baseline,0.04,4635205,0.0,0.04
baseline,0.04,4635215,0.0,0.04
baseline,0.04,4635225,0.0,0.04
baseline,0.04,4635235,0.0,0.04
baseline,0.04,4635245,0.0,0.04
baseline,0.04,4635255,0.0,0.04
baseline,0.04,4635265,0.0,0.04
baseline,0.04,4635275,0.0,0.04
baseline,0.04,4635285,0.0,0.04
baseline,0.04,4635295,0.0,0.04
baseline,0.04,4635305,0.0,0.04
baseline,0.04,4635315,0.0,0.04
baseline,0.04,4635325,0.0,0.04
baseline,0.04,4635335,0.0,0.04
baseline,0.04,4635345,0.0,0.04
baseline,0.04,4635355,0.0,0.04
baseline,0.04,4635365,0.0,0.04
baseline,0.04,4635375,0.0,0.04
baseline,0.04,4635385,0.0,0.04
baseline,0.04,4635395,0.0,0.04
baseline,0.04,4635405,0.0,0.04
baseline,0.04,4635415,0.0,0.04
baseline,0.04,4635425,0.0,0.04
baseline,0.04,4635435,0.0,0.04
baseline,0.04,4635445,0.0,0.04
baseline,0.04,4635455,0.0,0.04
baseline,0.04,4635465,0.0,0.04
baseline,0.04,4635475,0.0,0.04
baseline,0.04,4635485,0.0,0.04
baseline,0.04,4635495,0.0,0.04
baseline,0.04,4635505,0.0,0.04
baseline,0.04,4635515,0.0,0.04
baseline,0.04,4635525,0.0,0.04
baseline,0.04,4635535,0.0,0.04
baseline,0.04,4635545,0.0,0.04
baseline,0.04,4635555,0.0,0.04
baseline,0.04,4635565,0.0,0.04
baseline,0.04,4635575,0.0,0.04
baseline,0.04,4635585,0.0,0.04
baseline,0.04,4635595,0.0,0.04
baseline,0.04,4635605,0.0,0.04
baseline,0.04,4635615,0.0,0.04
baseline,0.04,4635625,0.0,0.04
baseline,0.04,4635635,0.0,0.04
baseline,0.04,4635645,0.0,0.04
baseline,0.04,4635655,0.0,0.04
baseline,0.04,4635665,0.0,0.04
baseline,0.04,4635675,0.0,0.04
baseline,0.04,4635685,0.0,0.04
baseline,0.04,4635695,0.0,0.04
baseline,0.04,4635705,0.0,0.04
baseline,0.04,4635715,0.0,0.04
baseline,0.04,4635725,0.0,0.04
baseline,0.04,4635735,0.0,0.04
baseline,0.04,4635745,0.0,0.04
baseline,0.04,4635755,0.0,0.04
baseline,0.04,4635765,0.0,0.04
baseline,0.04,4635775,0.0,0.04
baseline,0.04,4635785,0.0,0.04
baseline,0.04,4635795,0.0,0.04
baseline,0.04,4635805,0.0,0.04
baseline,0.04,4635815,0.0,0.04
baseline,0.04,4635825,0.0,0.04
baseline,0.04,4635835,0.0,0.04
baseline,0.04,4635845,0.0,0.04
baseline,0.04,4635855,0.0,0.04
baseline,0.04,4635865,0.0,0.04
baseline,0.04,4635875,0.0,0.04
baseline,0.04,4635885,0.0,0.04
baseline,0.04,4635895,0.0,0.04
baseline,0.04,4635905,0.0,0.04
baseline,0.04,4635915,0.0,0.04
baseline,0.04,4635925,0.0,0.04
baseline,0.04,4635935,0.0,0.04
baseline,0.04,4635945,0.0,0.04
baseline,0.04,4635955,0.0,0.04
baseline,0.04,4635965,0.0,0.04
baseline,0.04,4635975,0.0,0.04
baseline,0.04,4635985,0.0,0.04
baseline,0.04,4635995,0.0,0.04
baseline,0.04,4636005,0.0,0.04
baseline,0.04,4636015,0.0,0.04
baseline,0.04,4636025,0.0,0.04
baseline,0.04,4636035,0.0,0.04
baseline,0.04,4636045,0.0,0.04
baseline,0.04,4636055,0.0,0.04
baseline,0.04,4636065,0.0,0.04
baseline,0.04,4636075,0.0,0.04
baseline,0.04,4636085,0.0,0.04
baseline,0.04,4636095,0.0,0.04
baseline,0.04,4636105,0.0,0.04
baseline,0.04,4636115,0.0,0.04
baseline,0.04,4636125,0.0,0.04
baseline,0.04,4636135,0.0,0.04
baseline,0.04,4636145,0.0,0.04
baseline,0.04,4636155,0.0,0.04
baseline,0.04,4636165,0.0,0.04
baseline,0.04,4636175,0.0,0.04
baseline,0.04,4636185,0.0,0.04
baseline,0.04,4636195,0.0,0.04
baseline,0.04,4636205,0.0,0.04
baseline,0.04,4636215,0.0,0.04
baseline,0.04,4636225,0.0,0.04
baseline,0.04,4636235,0.0,0.04
baseline,0.04,4636245,0.0,0.04
baseline,0.04,4636255,0.0,0.04
baseline,0.04,4636265,0.0,0.04
baseline,0.04,4636275,0.0,0.04
baseline,0.04,4636285,0.0,0.04
baseline,0.04,4636295,0.0,0.04
baseline,0.04,4636305,0.0,0.04
